COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
CO,1363107,32284,371127,292892,991980,1052235,157986178.64158866,181775103.29478183,0.12972431803339218864,0.11020555163872946915
CP,22,5,22,,0,,1201745.454545454545,,,
CR,1458574,38926,497725,412929,960849,981266,194322193.00220626,209903771.80810432,0.12264534623382748163,0.11217623859747714478
CS,119,64,104,,15,,6641909.243697478992,,0.02564102564102564103,
CU,149336,5186,83879,68072,65457,66213,108746854.10617668,142262925.80705217,0.27054345843214647009,0.26832565990049575384
CV,8173,621,6643,4274,1530,1617,32608626.452954851340,53522006.043116618571,0.06817079087821445900,0.08570544554455445545
CW,23005,1466,5756,4185,17249,15930,303067903.36013910,309993509.79865772,0.03721399373573286617,0.03393506036806939397
CX,3251,257,2518,1691,733,573,48907608.981851737927,54078805.653710247350,0.11927642736009044658,0.12083656080557707204
CY,50924,1657,17113,14221,33811,30409,329506922.62980127,336031053.83822541,0.01447893855468246812,0.01731389721133901821
CZ,392627,4887,18802,11260,373825,381367,517353321.01765798,555970214.58025047,0.00520903640767062373,0.00262832647569580250
DE,756427,21568,109903,57501,646524,664471,388310864.27110613,491371334.31213399,0.00861018222806687958,0.00518526440243949535
DJ,2855,121,911,729,1944,1752,98633997.898423817863,109455671.10036276,0.08900316455696202532,0.09614532565352237483
DK,111004,5866,24386,8690,86618,64592,397557323.08024936,540230232.97399088,0.01559954961356406528,0.01104947390635834665
DM,7137,953,4878,3036,2259,2961,124442475.66204288,321432290.54527264,0.17146625632007034513,0.15940747291620605793
DO,69809,5094,39148,31794,30661,33872,127538845.93677033,201967423.45810617,0.16626685416494333692,0.16134991994087941865
DZ,7807,252,2726,1242,5081,6250,180218325.91264250,463659845.38174052,0.06598818122127380171,0.05027193885050712921
EC,683186,18766,335752,253743,347434,386242,140749095.02243898,173164764.64417135,0.21050520587061033520,0.18305260305096953114
EE,33849,1844,14430,6216,19419,19433,216815438.44722148,330090676.19010488,0.05409114762039316998,0.05899410965111010421
EG,32801,2543,18813,16007,13988,14846,85442427.438187860126,105558931.864000259294,0.05171754682977445251,0.05505581445757017449
EH,3738,274,2664,1572,1074,1688,57055643.017656500803,128466490.30674847,0.16080402010050251256,0.19762197621976219762
ER,482,36,132,69,350,352,44007535.269709543568,84824482.660332541568,0.00000000000000000000,0.00000000000000000000
ES,2989511,32575,358851,204370,2630660,2556967,454645646.35059045,520764250.36132859,0.02310836461987753725,0.01723801176532607991
ET,39821,1758,28543,25496,11278,14325,57892369.794831872630,82228267.095251249341,0.10211267605633802817,0.10893108819820488094
FI,288441,4845,47746,27934,240695,210974,578605929.57034541,791872005.34431664,0.02125891373116722964,0.02806195981392543714
