COUNTRY CODE,year,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AO,2013,56,12,33,33,23,19,141558685.71428571,134887015.38461538,0.00000000000000000000,0.00000000000000000000
AO,2014,67,12,23,17,44,44,132866435.82089552,185652354.09836066,0.00000000000000000000,0.00000000000000000000
AO,2015,109,14,35,22,74,86,209321834.86238532,268722400.00000000,0.04545454545454545455,0.03092783505154639175
AO,2016,210,23,163,78,47,128,63067062.857142857143,158125421.35922330,0.16000000000000000000,0.11643835616438356164
AO,2017,179,30,145,109,34,68,54515986.592178770950,278829884.74576271,0.03703703703703703704,0.02439024390243902439
AO,2018,314,32,182,150,132,146,70964942.675159235669,95191491.891891891892,0.00000000000000000000,0.00843881856540084388
AO,2019,159,46,72,54,87,93,110755562.26415094,138465110.20408163,0.07207207207207207207,0.03539823008849557522
AO,2020,125,13,10,5,115,116,211314355.20000000,234431047.93388430,0.00862068965517241379,0.00000000000000000000
AO,2021,122,25,78,46,44,76,59322098.360655737705,138604721.31147541,0.14285714285714285714,0.10588235294117647059
AO,2022,796,56,532,483,264,289,56515694.472361809045,73459361.658031088083,0.11560693641618497110,0.14757281553398058252
AO,2023,2185,84,1646,1388,539,682,25178660.320366132723,32001850.434782608696,0.01929060360920970753,0.09490886235072281584
AO,2024,2591,82,2106,1889,485,641,17608760.169818602856,29683795.731225296443,0.01285189718482252142,0.01684088269454123113
AO,2025,2662,57,2016,1765,646,832,38930924.718256949662,49726377.204466692337,0.44882587505538325210,0.50471910112359550562
AQ,2010,500,38,443,55,57,15,22628851.200000000000,32657965.714285714286,0.00395256916996047431,0.02000000000000000000
AQ,2011,128,32,99,22,29,4,25895025.000000000000,19825476.923076923077,0.03333333333333333333,0.20000000000000000000
AQ,2012,255,47,171,43,84,24,89179708.235294117647,120658244.77611940,0.00000000000000000000,0.00000000000000000000
AQ,2013,350,36,186,34,164,22,118116946.28571429,163110857.14285714,0.16591928251121076233,0.00000000000000000000
AQ,2014,223,50,143,39,80,23,106802410.76233184,147615793.54838710,0.00970873786407766990,0.03225806451612903226
AQ,2015,362,52,188,46,174,33,104837091.71270718,125776526.58227848,0.08085106382978723404,0.16326530612244897959
AQ,2016,742,82,650,160,92,25,23091506.199460916442,30858343.783783783784,0.01744186046511627907,0.00000000000000000000
AQ,2017,680,91,385,86,295,56,114442136.47058824,116105171.83098592,0.06326034063260340633,0.04109589041095890411
AQ,2018,1202,135,775,155,427,92,73826068.552412645591,94531394.331983805668,0.21494102228047182176,0.28057553956834532374
AQ,2019,1192,141,695,133,497,125,85144228.187919463087,102614734.88372093,0.07134220072551390568,0.07777777777777777778
AQ,2020,1008,115,678,127,330,74,62438742.857142857143,84616549.253731343284,0.12220309810671256454,0.00819672131147540984
AQ,2021,1261,80,475,56,786,124,69080328.628072957970,111278400.00000000,0.12337011033099297894,0.11888111888111888112
AQ,2022,7264,342,4618,614,2646,376,36007996.916299559471,57997614.545454545455,0.21576486305945223781,0.36557788944723618090
AQ,2023,5380,442,3561,525,1819,311,39280137.992565055762,59098323.444976076555,0.07690092165898617512,0.05523809523809523810
AQ,2024,7372,521,5548,669,1824,311,26337010.092240911557,43169054.693877551020,0.21971407072987208427,0.22421524663677130045
AQ,2025,4523,308,3210,275,1313,197,36219594.428476674773,58618555.932203389831,0.11632492113564668770,0.15017064846416382253
AR,2010,2891,338,1161,608,1730,1962,309784076.92839848,429757096.34241245,0.03824091778202676864,0.05098222637979420019
AR,2011,2541,367,763,457,1778,1818,337986735.30106257,451088893.18681319,0.07007672634271099744,0.04573804573804573805
AR,2012,3419,419,1263,628,2156,2393,274376631.29570050,400916906.45481629,0.03471074380165289256,0.02560000000000000000
AR,2013,4752,593,1706,901,3046,3316,271791672.72727273,371612157.26820014,0.02194092827004219409,0.02125279642058165548
AR,2014,8988,769,2802,1631,6186,6208,271744668.62483311,366573222.50287026,0.07238307349665924276,0.07178290049606069448
AR,2015,14673,1072,3199,1815,11474,11138,312934081.37395216,403363472.73990581,0.05031742299553256525,0.03307653659353542120
AR,2016,22438,1344,6063,3483,16375,16203,285052175.34539620,359338166.16885096,0.06241076891698959821,0.04363517060367454068
AR,2017,30770,1658,6499,3314,24271,24754,306308632.66818330,391237783.32620778,0.05636277129158584343,0.03463236413457147207
AR,2018,44329,1944,9754,4729,34575,35507,285591848.58670396,379921830.95735163,0.08233401211755537119,0.04746960626598802711
AR,2019,65290,2410,14509,7751,50781,53000,347789953.49977026,429474197.66588204,0.05883862578702436354,0.04018006295169600309
AR,2020,69221,2608,7041,3792,62180,61883,302050264.79247627,360827810.88694328,0.02612221078980911283,0.01166508388730610953
AR,2021,91206,2735,11076,4208,80130,82580,249841395.38188277,320154479.23676084,0.04879324168864822153,0.02226498400368328473
